x,y,Umbilicaria_decussata cloglog values
-2285926.96358424,891934.716240996,0.7038931
-2290073.84320192,905614.335817293,0.6126921
-2290888.66413929,918253.475245578,0.5886983
-2331141.05526458,1158202.88196822,0.49961117
-2337873.14159047,1176819.68942824,0.52602595
-2332226.42228327,1192441.67155438,0.54084957
-2453029.60954493,1190328.37000344,0.33803836
-2386549.97885482,1365131.10639869,0.8834435
-2386700.81436594,1365714.9990339,0.8834435
-2479578.93343066,1282627.73132274,0.2914771
-2450041.57912444,1515150.24859411,0.53814614
-2428094.60530231,1555591.34174238,0.645159
-2604271.68776354,1465251.46901134,0.20282294
-2603496.23730889,1468791.26578778,0.24925713
-2629291.85993771,1594350.95432252,0.23536141
-1843636.30888502,735275.223204422,0.6680364
-1849856.55777235,734278.030476415,0.6387183
-1900701.59319288,757149.674942628,0.70196813
-1840544.78595043,991030.017111752,0.9330671
-1867103.35669391,940317.971430153,0.70845795
-1868457.18671558,939526.871053886,0.6855134
-1961486.46508661,731215.048718033,0.6430912
-1952193.54336681,772159.646010498,0.6814307
-1972895.08487135,734268.954377713,0.5397506
-1984548.20569251,734594.191365371,0.674563
-1950250.62663821,958522.118851677,0.6852995
-2048265.22535679,775963.496306165,0.69021773
-2094296.77562739,719905.205748401,0.61583376
-2127540.84042362,706977.399465735,0.63036233
-2003730.89476826,1016540.14871756,0.8924424
-2006918.4862261,1018182.83420008,0.83877444
-1440614.72697308,526282.246945053,0.1861603
-1442897.62846964,547969.9555353,0.22290292
-1519355.57878751,474706.796747827,0.15849143
-1572032.91421327,523327.911261167,0.09811883
-2290073.84320192,905614.335817293,0.6126921
-2629291.85993771,1594350.95432252,0.23536141
-2623592.19618942,1610867.63855787,0.28539553
-2638160.29845032,1588728.30762292,0.07437777
-2149428.99057318,565434.123810298,0.4746236
-2635923.7667323,1588071.11204761,0.079437405
-2649990.41394982,1466870.72188996,0.11833864
-2649990.41394982,1466870.72188996,0.11833864
-2649990.41394982,1466870.72188996,0.11833864
-2649990.41394982,1466870.72188996,0.11833864
-2629291.85993771,1594350.95432252,0.23536141
-2443122.76353586,1536655.01720342,0.5412203
-2206578.64868848,935936.290083548,0.67039895
-2236307.6474816,960401.99998949,0.7503572
-2310889.20283209,918990.852538654,0.67415893
-2411000.11326015,1280652.5755956,0.39242318
-2449434.10963524,1186664.35187042,0.26729327
-2453029.60954493,1190328.37000344,0.33803836
-2453029.60954493,1190328.37000344,0.33803836
-2288987.3605453,913856.655324266,0.3725679
-2464411.24164046,1546209.37332706,0.5608368
-2464291.43968807,1599107.48879386,0.81896585
-2465262.57705245,1599737.05971877,0.81896585
-2464815.50827519,1601390.4870103,0.8454915
-2465962.32168873,1599836.41366826,0.81896585
-2465624.88991117,1601617.71226252,0.8454915
-2442689.87437761,1661115.64464722,0.62760097
-2143900.93329888,892825.06500012,0.77323174
-2196790.82032094,926671.079541102,0.7398689
-2205508.1238483,934771.498940679,0.6871938
-2214972.26818934,930253.07422458,0.9661459
-2280543.88314427,880542.018061145,0.56816
-2276694.71128246,903329.086350651,0.47699493
-2277068.01772189,902519.18509296,0.47699493
-2285926.96358424,891934.716240996,0.7038931
-2268927.17762605,939203.884285848,0.75790167
-2261517.33407193,957284.440556591,0.78670305
-2290073.84320192,905614.335817293,0.6126921
-2287639.9844075,914527.603820092,0.3725679
-2289882.86905365,919821.432855136,0.5934238
-2290888.66413929,918253.475245578,0.5886983
-2273352.98975803,964981.092507093,0.81567943
-2301004.38003793,929311.561919306,0.6102197
-2327110.48288228,931728.196652567,0.7637682
-2351078.45077617,970987.942074572,0.6124635
-2285173.99325334,1187653.05848885,0.49667475
-2331141.05526458,1158202.88196822,0.49961117
-2338325.78402331,1210146.46860262,0.54329175
-2428339.5132885,1154894.85972534,0.42057988
-2437947.97048564,1186342.61404601,0.40726137
-2449434.10963524,1186664.35187042,0.26729327
-2453029.60954493,1190328.37000344,0.33803836
-2466487.3166294,1196668.83529232,0.31847143
-2467754.56027689,1210297.32282723,0.46026736
-2479090.13907307,1237479.63349149,0.39078015
-2466872.10042162,1265288.1997946,0.3760162
-2483092.95955909,1234826.52381985,0.36188132
-2472232.97715722,1268576.36603645,0.35630384
-2486785.6860189,1242011.79823178,0.35622042
-2503551.0216109,1218525.47002202,0.3514905
-2504774.95848793,1216680.1906665,0.3514905
-2478587.54177323,1281192.18041053,0.2606397
-2479578.93343066,1282627.73132274,0.2914771
-2515621.52500196,1211526.77893387,0.3868035
-2470465.24923105,1341635.69563301,0.41251355
-2473030.60893744,1341963.19326396,0.38770312
-2530533.39451434,1239209.78163501,0.21496171
-2500129.31896192,1302050.13807128,0.24970523
-2505403.97546707,1324911.00304133,0.1486788
-2524400.3517855,1289211.20212553,0.1212328
-2484666.13751694,1372600.85885939,0.47225413
-2513957.05275252,1324100.82548781,0.24976853
-2500032.15726159,1389567.25276843,0.46869472
-2506080.96709718,1387428.50159157,0.4703611
-2545237.59808135,1321847.80035175,0.18353496
-2545951.55362985,1326444.50257719,0.21517928
-2534318.76757612,1358352.2473581,0.15362932
-2499828.16046482,1505355.44103287,0.5411601
-2504661.70869598,1508073.73076558,0.5406135
-2469123.90205512,1602939.72741898,0.9858184
-2521970.87574385,1535435.89618332,0.12740313
-2601498.68148936,1467664.32252641,0.18656668
-2601754.79761239,1467210.25300012,0.20282294
-2603641.18980954,1464206.40271155,0.17640166
-2604271.68776354,1465251.46901134,0.20282294
-2602331.16119594,1470038.6025342,0.24925713
-2601972.11601161,1470990.95780945,0.32653317
-2602957.76589058,1469654.35441767,0.24925713
-2603752.5500902,1468336.84760507,0.24925713
