x,y,Usnea_antarctica cloglog values
-2649990.41394982,1466870.72188996,0.5073991
-2649990.41394982,1466870.72188996,0.5073991
-2649990.41394982,1466870.72188996,0.5073991
-2629291.85993771,1594350.95432252,0.29682645
-2443122.76353586,1536655.01720342,0.1763319
-2206578.64868848,935936.290083548,0.27863762
-2236307.6474816,960401.99998949,0.35722014
-2310889.20283209,918990.852538654,0.58450824
-2411000.11326015,1280652.5755956,0.48542008
-2425869.99450772,1424137.45995515,0.21717998
-2373746.05582349,1539364.38301671,0.042501107
-2373126.50386733,1542304.36752783,0.20510386
-2391146.01774783,1533321.04209017,0.31470516
-2445421.3658215,1457127.45448814,0.26874483
-2437066.58042634,1474103.51038016,0.28559718
-2456913.79421353,1494367.98906464,0.3357763
-2429739.20693984,1546836.91034594,0.13144904
-2439541.85916477,1537641.39117453,0.30504584
-2443122.76353586,1536655.01720342,0.1763319
-2451124.27523191,1525607.39458483,0.29981023
-2464741.83092896,1547158.49485657,0.6070675
-2457620.64051292,1593518.46531355,0.3260696
-2458972.03111232,1592607.32894605,0.4365362
-2460259.19549089,1594594.44584788,0.3296193
-2466554.81248622,1590975.0322166,0.4086506
-2476097.67218783,1577083.68015131,0.30390456
-2464291.43968807,1599107.48879386,0.57381415
-2465262.57705245,1599737.05971877,0.57381415
-2464815.50827519,1601390.4870103,0.7293219
-2465962.32168873,1599836.41366826,0.57381415
-2465624.88991117,1601617.71226252,0.7293219
-2484380.55752057,1577556.8702716,0.27706212
-2442689.87437761,1661115.64464722,0.6179104
-2196790.82032094,926671.079541102,0.33907443
-2205508.1238483,934771.498940679,0.42654413
-2206578.64868848,935936.290083548,0.27863762
-2214972.26818934,930253.07422458,0.6869314
-2216494.10112602,929430.370789422,0.6869314
-2215534.89125432,932672.24057834,0.8542907
-2216582.41594148,939327.353154662,0.34022912
-2222698.79933601,934336.541434468,0.38191548
-2222360.74452202,935163.554313877,0.38191548
-2223458.74678491,934445.946818003,0.38191548
-2235182.3798632,938225.670425898,0.3759416
-2245507.80580756,943984.056104864,0.39251053
-2276694.71128246,903329.086350651,0.69048125
-2277068.01772189,902519.18509296,0.69048125
-2260304.48547678,953581.513763295,0.8161173
-2285926.96358424,891934.716240996,0.58408374
-2268927.17762605,939203.884285848,0.4614766
-2261517.33407193,957284.440556591,0.77020407
-2290073.84320192,905614.335817293,0.55431783
-2287639.9844075,914527.603820092,0.56956446
-2287639.9844075,914527.603820092,0.56956446
-2276132.97823141,945929.629352642,0.47449932
-2289882.86905365,919821.432855136,0.63960177
-2290888.66413929,918253.475245578,0.6300237
-2273352.98975803,964981.092507093,0.7372498
-2274530.23964265,962202.948389309,0.70807546
-2310889.20283209,918990.852538654,0.58450824
-2327110.48288228,931728.196652567,0.7589552
-2278379.50582039,1189084.43868482,0.5030093
-2285173.99325334,1187653.05848885,0.4162755
-2331141.05526458,1158202.88196822,0.5390237
-2337873.14159047,1176819.68942824,0.5336409
-2332226.42228327,1192441.67155438,0.5033559
-2329929.03594441,1203410.74121387,0.4373972
-2449434.10963524,1186664.35187042,0.5834241
-2453029.60954493,1190328.37000344,0.5472053
-2466487.3166294,1196668.83529232,0.5009757
-2386700.81436594,1365714.9990339,0.44076493
-2472232.97715722,1268576.36603645,0.8632257
-2503551.0216109,1218525.47002202,0.6440998
-2504774.95848793,1216680.1906665,0.6440998
-2474816.54347529,1277118.88149933,0.4585011
-2430302.25024472,1452985.40820586,0.19014882
-2524400.3517855,1289211.20212553,0.26737383
-2469123.90205512,1602939.72741898,0.69741917
-2631287.09278694,1496597.75315835,0.7617783
-2629291.85993771,1594350.95432252,0.29682645
-2627913.74769357,1610602.12776021,0.5072303
-2635673.498446,1621432.7671627,0.54994935
-1867254.78403481,734567.638006158,0.11166418
-1880248.32863051,801642.102122726,0.038433768
-1900701.59319288,757149.674942628,0.15985575
-1919853.47618292,764479.943840055,0.1855118
-1829065.48670721,965665.996476289,4.2748617E-4
-1842435.54264249,953868.732070356,0.0033711516
-1839787.71302744,975186.625496042,4.565702E-4
-1841044.00125363,973481.323003556,5.799126E-4
-1846813.77083683,969202.978955847,4.955543E-4
-1840544.78595043,991030.017111752,4.947859E-4
-1869604.26034371,935919.136547331,0.0066972515
-1843214.6701941,991435.810646465,5.501385E-4
-1870480.61401148,944192.221396098,0.006357421
-1952193.54336681,772159.646010498,0.16537179
-1956849.0565149,775956.815948035,0.3050607
-1972895.08487135,734268.954377713,0.17248628
-2048265.22535679,775963.496306165,0.33905065
-2149428.99057318,565434.123810298,0.29944703
-2149417.60537442,565816.206393399,0.29944703
-2149417.60537442,565816.206393399,0.29944703
-1995129.70381721,1012707.27824026,0.03754762
-2084257.59572425,828606.940483649,0.27790323
-2003726.37293032,1016511.91102774,0.039526667
-2003730.89476826,1016540.14871756,0.039526667
-2006918.4862261,1018182.83420008,0.021709755
-2017317.73824267,999476.775748661,0.025350338
-2017410.94851753,999513.308865739,0.025350338
-2115546.59433437,770947.410078187,0.45520216
-2027158.21851359,1002714.83981118,0.024008542
-2190536.12430792,933249.489901711,0.3035872
-2449434.10963524,1186664.35187042,0.5834241
