x,y,Acarospora_gwynnii cloglog values
-2285173.99325334,1187653.05848885,0.21048531
-2382438.39586142,1220324.06178006,0.27781722
-2453029.60954493,1190328.37000344,0.041676573
-2386549.97885482,1365131.10639869,0.014477523
-2649990.41394982,1466870.72188996,0.01593421
-2651621.60590745,1466721.82541937,0.01593421
-1867162.7757872,774549.774820007,0.4501686
-1824322.31380591,915125.391132192,0.9747237
-1874898.33411706,810304.624187902,0.59577227
-1880248.32863051,801642.102122726,0.57991505
-1900701.59319288,757149.674942628,0.37471294
-1838365.42598988,928862.415441118,0.9687482
-1840544.78595043,991030.017111752,0.97085977
-1870480.61401148,944192.221396098,0.9228989
-1937013.62179646,974455.275376013,0.77170867
-1995129.70381721,1012707.27824026,0.6520971
-2084257.59572425,828606.940483649,0.30049545
-1994531.57004867,1032944.10395713,0.65328383
-2003726.37293032,1016511.91102774,0.6288736
-2003730.89476826,1016540.14871756,0.6288736
-2016456.06281409,998315.328993404,0.60950786
-2006918.4862261,1018182.83420008,0.62596256
-1432436.10393814,532517.019414768,0.9627236
-2453029.60954493,1190328.37000344,0.041676573
-2466487.3166294,1196668.83529232,0.02642384
-2456913.79421353,1494367.98906464,0.2848221
-2437962.13598144,1533674.58662883,0.24291687
-2463275.46204187,1561563.11000754,0.046381205
-2465624.88991117,1601617.71226252,0.048610423
-2442689.87437761,1661115.64464722,0.045309935
-2196790.82032094,926671.079541102,0.17683573
-2197709.18972422,926991.605353908,0.13416333
-2205508.1238483,934771.498940679,0.078840554
-2214972.26818934,930253.07422458,0.015604166
-2216582.41594148,939327.353154662,0.18028767
-2235182.3798632,938225.670425898,0.15258628
-2245507.80580756,943984.056104864,0.1480636
-2211031.95821039,1029277.26192909,0.012710095
-2277068.01772189,902519.18509296,0.029048422
-2285926.96358424,891934.716240996,0.16689204
-2268927.17762605,939203.884285848,0.25602946
-2261517.33407193,957284.440556591,0.016054036
-2290073.84320192,905614.335817293,0.121734716
-2276132.97823141,945929.629352642,0.1394063
-2290888.66413929,918253.475245578,0.08918529
-2273352.98975803,964981.092507093,0.017998066
-2310889.20283209,918990.852538654,0.15788107
-2337873.14159047,1176819.68942824,0.16439147
-2453029.60954493,1190328.37000344,0.041676573
-2466487.3166294,1196668.83529232,0.02642384
-2484338.74382934,1247840.54179949,0.100648105
-2503551.0216109,1218525.47002202,0.027973212
-2473030.60893744,1341963.19326396,0.09819919
-2524400.3517855,1289211.20212553,0.16353704
-2648491.47089057,1462863.16547308,0.013534269
-2640992.684782,1524937.63426868,0.008311494
-2629291.85993771,1594350.95432252,0.008575621
-2629604.83862387,1596939.55391197,0.014997084
-2638160.29845032,1588728.30762292,0.013334746
-2626369.49287429,1611430.00818627,0.023387277
-2629816.05657997,1618367.1846664,0.015139571
-2634217.69165432,1622475.83439706,0.02045103
-2619468.66640445,1824174.00120961,0.013482249
-2149428.99057318,565434.123810298,0.15478586
-2649990.41394982,1466870.72188996,0.01593421
-2439541.85916477,1537641.39117453,0.2528411
-2457620.64051292,1593518.46531355,0.194438
-2464291.43968807,1599107.48879386,0.13730694
-2465262.57705245,1599737.05971877,0.13730694
-2465962.32168873,1599836.41366826,0.13730694
-2465624.88991117,1601617.71226252,0.048610423
-2442689.87437761,1661115.64464722,0.045309935
-2285926.96358424,891934.716240996,0.16689204
-2261517.33407193,957284.440556591,0.016054036
-2290073.84320192,905614.335817293,0.121734716
-2276132.97823141,945929.629352642,0.1394063
-2290888.66413929,918253.475245578,0.08918529
-2310889.20283209,918990.852538654,0.15788107
-2351078.45077617,970987.942074572,0.07984067
-2329929.03594441,1203410.74121387,0.28828296
-2428339.5132885,1154894.85972534,0.05950451
-2453029.60954493,1190328.37000344,0.041676573
-2466487.3166294,1196668.83529232,0.02642384
-2472232.97715722,1268576.36603645,0.115769304
-2504774.95848793,1216680.1906665,0.027973212
-2479578.93343066,1282627.73132274,0.08104986
-2503147.90462511,1305913.97899677,0.1735753
-2524400.3517855,1289211.20212553,0.16353704
-2513957.05275252,1324100.82548781,0.11200476
-2545951.55362985,1326444.50257719,0.11048871
-2428094.60530231,1555591.34174238,0.28998718
-2604271.68776354,1465251.46901134,0.021912279
-2629291.85993771,1594350.95432252,0.008575621
-2623592.19618942,1610867.63855787,0.023965077
-2638160.29845032,1588728.30762292,0.013334746
-2628864.94687862,1607263.09928965,0.024489276
-2619468.66640445,1824174.00120961,0.013482249
-1900701.59319288,757149.674942628,0.37471294
-1870480.61401148,944192.221396098,0.9228989
-2149428.99057318,565434.123810298,0.15478586
-2441383.586008,1511557.8483439,0.28479204
-2426692.98647384,1536185.03094775,0.29702273
-2429739.20693984,1546836.91034594,0.29273775
-2451124.27523191,1525607.39458483,0.24508192
-2460259.19549089,1594594.44584788,0.1831241
-2465262.57705245,1599737.05971877,0.13730694
-2442689.87437761,1661115.64464722,0.045309935
-2214972.26818934,930253.07422458,0.015604166
-2222360.74452202,935163.554313877,0.14050876
-2235182.3798632,938225.670425898,0.15258628
-2236835.16065593,958094.681301629,0.2364195
-2245507.80580756,943984.056104864,0.1480636
-2277068.01772189,902519.18509296,0.029048422
-2285926.96358424,891934.716240996,0.16689204
-2290073.84320192,905614.335817293,0.121734716
-2290888.66413929,918253.475245578,0.08918529
-2331141.05526458,1158202.88196822,0.12891266
-2337873.14159047,1176819.68942824,0.16439147
-2332226.42228327,1192441.67155438,0.1816411
-2453029.60954493,1190328.37000344,0.041676573
-2386549.97885482,1365131.10639869,0.014477523
-2386700.81436594,1365714.9990339,0.014477523
-2479578.93343066,1282627.73132274,0.08104986
